log10NH,log10PeakFlux,PhotonIndex,log10Ta,log10Fa,Gamma,Alpha,log Redshift
21.91683806,0.285557309,2.11,4.86356,-11.3757179,1.99544,1.10818,0.469674772551798
20.92661714,0.499687083,1.9,4.132084541,-11.15490196,1.98053,1.874408221,0.3873898263387294
20.93735437,0.181843588,2.02,3.73997,-10.70553377,2.01045,0.863159,0.6273658565927327
22.12570242,1.029383778,1.4,3.12435,-9.653647026,1.78711,0.984108,0.5910646070264992
22.23063027,0.267171728,1.41,4.270583544,-11.04817696,2.01835,1.462094791,0.7218106152125465
21.73850309,-0.259637311,1.53,4.05018,-10.09854168,1.6177,2.38763,0.6960941599952234
21.25883595,0.439332694,1.54,3.63973,-10.28650946,1.8557,1.44729,0.43300134094503784
21.34755638,-0.017728767,1.38,4.21721,-10.86012091,2.11696,1.52234,0.6532125137753437
20.9708274,-0.301029996,2.76,5.08558,-12.23882419,1.94709,0.954481,0.2619286729906419
22.39388568,-0.207608311,1.25,4.6841,-11.4544,1.90813,1.7209747511693325,0.8627275283179746
21.43355223,-0.060480747,1.0,3.69688,-11.29499204,2.10553,0.889919,0.6560982020128319
21.9172644,-0.050609993,1.84,4.47599,-10.6893,2.00895,1.3641,0.5179872030250782
22.33966406,0.445604203,1.2,3.93814,-10.63078414,2.20424,1.17565,0.7031193462360779
22.3877421,0.434568904,1.53,4.15028,-10.66756154,2.08163,1.20511,0.6910814921229684
21.59972155,-0.602059991,2.26,5.07614,-11.82390874,2.1084487010977084,1.3185,0.014142361545005795
21.61973178,0.775974331,1.8,3.61496,-10.70553377,2.28823,1.03794,0.40807028588718547
21.65363309,0.814247596,1.7,3.11887,-9.792961075,1.94118,1.47655,0.3960248966085932
21.6231000216434,0.222716471,2.01,3.8752,-11.3053948,1.90677,1.05873,0.6254153521544081
21.99003057,-0.468521083,2.01,4.45991,-11.76955108,2.1711,1.21596,0.49633450599681644
21.77333803,-0.337242168,1.55,4.04162,-11.26121944,2.02128,1.9179,0.6794278966121188
20.51216256,1.06069784,2.02,5.03344,-11.78251606,1.89544,1.9453,0.05115252244738129
21.20847898,0.004321374,0.6,3.5545,-10.9132,2.09345,0.861995,0.6459132750338442
20.79066861,0.28780173,1.68,3.50569,-10.86966623,2.20484,1.12969,0.4653828514484183
22.0125926,0.10720997,1.93,3.73449,-10.86012091,2.04425,1.20488,0.569490954348783
20.86562801,0.068185862,1.75,5.1057,-11.15058059,1.92492,1.35481,0.18752072083646307
22.00679538,0.861534411,1.53,4.22387,-10.91009489,2.11591,1.29504,0.4658139572694792
22.41960057,0.294466226,2.03,4.33479,-11.8827287,2.07859,1.71887,0.6708022842609439
21.80952201,0.481442629,1.0,2.81918,-9.627087997,2.13395,1.38309,0.45993501685152494
22.50004427,0.037426498,2.54,3.351,-10.84771166,2.00443,1.45111,0.6232492903979004
22.10710478,0.431363764,0.9,3.15198,-10.77728353,1.94856,1.39098,0.8109042806687004
21.75351565,1.324282455,1.41,3.78753,-10.03011836,1.90181,1.35185,0.3643633546157308
21.3989672,-0.22184875,1.58,4.26825,-11.04866248,2.08596,1.42725,0.5253040099582389
21.8647258,-0.045757491,1.94,3.44468,-10.86327943,2.20341,1.2125,0.33545790068938425
21.70173804,-0.161150909,1.85,4.22335,-11.86327943,2.25837,0.991734,0.4198731751494762
22.44245468,0.609594409,1.66,4.86926,-11.2737,1.94468,1.89982,0.39722718104316096
21.89306622,1.382017043,1.1,3.02525,-9.161150909,1.82568,1.37377,0.26007138798507473
22.27524914,0.814913181,1.1,3.55243,-10.01233374,2.00022,1.44502,0.48946628130312836
22.56252244,0.155336037,1.34,3.09323,-10.24641694,1.97999,1.21432,0.544018407858776
21.91375294,-0.397940009,1.79,3.92184,-11.6716204,1.99014,1.16348,0.5378190950732742
20.86974084,0.799340549,1.36,4.78411,-11.67760082,1.91015,1.97901,0.4156993488878292
20.99642367,0.924279286,1.11,2.311950854,-9.169411331,1.59788,1.119196934,0.4976206497812877
22.04291793,1.053078443,1.57,3.901990464,-11.23542972,2.0457,1.104952391,0.36754227352057667
21.508519842384665,0.113943352,2.32,4.32608056,-11.3990271,2.09352,1.59590648,0.534026106056135
21.57289018,1.635483747,1.75,4.20932562,-10.11350927,1.97674,1.28909841,0.30749603791321295
21.51787914,0.414973348,1.73,4.21762911,-11.17198494,2.03541,0.99269763,0.24723654950676405
22.03528962,0.255272505,1.82,3.77452827,-11.12090412,2.3315,0.94016916,0.6232492903979004
22.38386741,1.36361198,1.31,3.46298403,-10.0540393,2.03418,1.7256074,0.6059511575648728
20.89722339,0.0,1.47,4.09266933,-11.23284413,2.00149,1.52133785,0.2659963704950792
21.79728278,1.320146286,1.11,2.87876286,-8.714442691,1.9433,1.33437559,0.5552154051260731
21.45079548,0.301029996,1.34,3.2687548,-9.931814138,2.11482,1.44529526,0.6384892569546373
21.51035195,0.322219295,1.77,4.08450503,-11.1260984,2.13864,1.76031774,0.43007505555193926
21.69605744,0.414973348,2.51,3.58176278,-10.58502665,2.102,1.00469263,0.1845494813206975
21.1376737,0.113943352,1.69,3.85550833,-10.79317412,1.98207,1.47398467,0.47253705326207746
21.49704581,-0.301029996,1.43,4.48156171,-11.86327943,1.95818,2.51960373,0.6855536528463264
21.57331844,1.260071388,1.21,2.93195749,-9.354577731,2.4947,1.23586126,0.5132176000679389
20.67248024,-0.15490196,1.97,3.66959365,-11.32975415,2.08621,0.99376498,0.4913616938342727
21.72376179,0.740362689,1.36,3.15380077,-9.457174573,1.76997,1.42487631,0.4060289449636151
21.81792086,-0.301029996,2.15,3.70655,-11.3419886,2.03416,1.29089,0.7520253873232127
22.7516324,0.230448921,0.8,3.91521772,-11.2798407,1.8158,1.43267533,0.9666109866819343
21.63012977,1.851258349,1.19,2.99599056,-9.050609993,1.96315,1.1284106,0.18864729599971736
22.13069392,-0.22184875,1.02,3.44619,-11.76000021,1.46604,1.42452,0.6857417386022636
21.497082485920025,-0.397940009,2.0,4.472757799,-12.1873998,2.22623,0.8815438,0.5593080109070125
20.90942658,0.397940009,1.61,3.6839464,-11.16052195,2.03975,0.88610581,0.35525990552737846
21.39200012,1.589949601,1.42,3.67275453,-9.640164518,1.82831,1.30942861,0.18752072083646307
21.91952315,0.041392685,1.34,4.56066,-11.8559,1.94644,1.6367,0.5725230978496376
21.77771022,0.556302501,1.24,3.52924,-10.16730017,1.88559,1.37252,0.538070787043172
21.01785522,0.301029996,1.8,4.20121889,-11.6716204,2.06549,1.13087741,0.37474834601010387
21.19187281,1.012837225,1.77,2.89655535,-9.627087997,1.98015,1.18074867,0.29468662427944325
21.70587483,0.62324929,1.53,2.95265011,-9.71219827,2.08587,1.17417264,0.4329692908744057
21.45058625,0.255272505,1.46,4.30368998,-11.34678749,2.11535,1.12123368,0.5742628297070268
20.87872913,1.667452953,2.05,3.98466812,-9.844663963,1.80187,1.39581701,0.17318626841227402
21.75162856,0.688419822,3.08,2.99481,-10.5559552,2.06183,0.842217,0.21822030417554536
21.61964524,0.389166084,1.25,3.750945731,-10.01818139,1.96878,1.136499703,0.5580722590991456
21.44930866,0.860936621,1.37,2.52429,-9.477555766,2.2119,1.22035,0.5048784594102159
21.71466751,0.113943352,2.4,4.25742,-11.59006688,1.89482,1.14771,0.28699507396885204
21.97057233,0.595496222,1.51,3.91123,-10.51999306,2.06584,1.22299,0.5245259366263757
22.49782636,0.130333768,1.74,2.78682,-10.9636,2.01015,1.1892,0.7331972651065695
21.45692297,0.227886705,1.46,3.3865,-10.55284197,2.02719,0.897152,0.39839144022947504
22.00215742,-0.244125144,1.78,4.43617,-12.2656,2.1317,1.00735,0.7708520116421442
21.79614607,0.146128036,1.47,4.37412,-11.02273379,1.61002,1.6051072975606695,0.6101169554119277
21.59122827,0.387389826,1.64,3.87074,-11.11633856,2.18877,1.36265,0.231214647962601
21.36738202,0.933487288,1.74,2.455171016,-10.1079054,1.8948,1.045731532,0.2871296207191108
21.489671648777993,-0.27572413,1.67,2.24983,-8.33235,1.82722,1.4730755441866812,0.24496946013619764
22.56660835,0.930949031,1.35,3.92091,-9.954677021,1.92748,1.35061,0.48967729166369856
21.89473409,0.176091259,1.34,3.94739,-10.50863831,1.52512,2.5054,0.6652056284346005
21.93100401,0.278753601,2.04,3.36583,-10.77728353,2.17076,1.36994,0.5010592622177514
20.8771334,1.394451681,1.04,5.36799912,-12.15181088,1.81426,1.42250979,0.2871296207191108
21.75037415,0.716003344,1.37,3.19029,-8.91721463,1.61029,1.45203,0.46982201597816303
22.33533151,-0.301029996,1.78,3.67820615,-10.11125904,1.86248,1.36946226,0.5281450782531064
20.90308999,-0.301029996,1.25,4.75426,-11.3994,2.51,2.20023,0.6061663146076205
21.66176916,0.462397998,1.54,4.02089,-10.9243983,2.03508,1.86904,0.4913616938342727
22.02365981,0.278753601,1.48,3.52813657,-10.04720756,2.03408,1.52909667,0.4163075870598826
21.19589965,0.204119983,1.84,4.33113504,-11.27490548,2.09,1.76098314,0.7083359026822634
21.89596701,0.113943352,1.31,3.37933883,-11.14630179,1.96352,1.06152816,0.6102341753343888
21.91211094,1.181843588,1.74,3.31388094,-10.18045606,2.03333,1.1606541,0.3144992279731515
21.688489930586787,-0.397940009,1.34,4.7218991,-12.13548892,1.58721,1.6262803645586432,0.7533302213245207
21.41315218,0.113943352,2.23,3.5543767,-11.1481304,2.23535,1.36246063,0.3384564936046048
21.2325374759329,0.0,2.16,5.54363,-12.48811664,2.26662,1.81145,0.21045229296202025
20.53466438,0.146128036,2.42,3.60199415,-11.50168945,2.17077,0.86819371,0.44012160318780386
22.05240534,-0.22184875,1.62,3.74522911,-11.57186521,2.25722,0.96306136,0.7613263224214566
22.28454803,1.10720997,1.9,3.64164386,-9.804100348,2.3024,0.94079321,0.1880843737149382
21.52730245,0.633468456,1.73,3.62503495,-10.35163999,2.11575,1.01294211,0.6627578316815741
21.52592288,0.707570176,1.18,4.03148606,-10.17587417,1.90402,1.5588143,0.40942586867144337
20.89608288,0.397940009,1.47,5.22729477,-11.49349497,1.89414,1.76532941,0.3873898263387294
21.34783526,1.037426498,0.73,3.97801299,-11.5559552,1.91138,1.04455013,0.25623653320592293
21.53188109,-0.096910013,1.52,4.91124,-11.34103516,1.98285,1.50754,0.38165648258578694
21.96198081,1.004321374,1.78,3.94074768,-10.4698003,2.02817,1.71220056,0.43568513794162994
21.29748256,0.322219295,1.76,3.87203946,-10.81530857,2.05121,1.22519883,0.20897851727625347
21.56708403,0.204119983,1.83,3.84089,-9.896196279,1.96436,1.8412,0.39093510710337914
22.02088312,1.487138375,0.86,3.50066971,-9.681936665,1.89199,1.42239886,0.4424797690644486
21.13638759,0.130333768,0.88,2.54166555,-9.08249449,1.90907,1.14649063,0.41713940972732566
22.0746007,1.731588765,1.25,2.61109719,-9.075720714,1.85342,0.95853538,0.26007138798507473
21.95954126,1.041392685,1.15,5.08952072,-12.08512818,1.85145,1.42351927,0.5831987739686227
21.362480152651326,-0.397940009,2.32,4.50711,-12.08440021,2.33721,0.807091,0.37069809257557684
22.06812647,0.204119983,1.58,3.84627415,-11.28316228,1.95985,1.37167718,0.639486489268586
22.17059025,0.806179974,1.86,3.98993393,-10.66756154,1.94053,1.21584288,0.7774123214967441
21.35034301,-0.045757491,1.68,4.42202873,-11.60730305,2.55463,1.46723371,0.6182155032794169
21.14009932,-0.301029996,1.48,4.13326,-9.057000407,1.81212,2.77382,0.22453306260608574
21.41342718,1.093421685,2.27,4.10627835,-10.65757732,2.03824,1.15297662,0.23401081758717934
21.451745,0.342422681,2.08,3.68307,-10.95467702,2.20884,1.0241,0.5958267770732232
22.16619025,0.591064607,1.52,3.48517215,-10.15181088,1.75797,1.44859414,0.5812668052736706
21.70983536,0.079181246,1.85,3.79948,-11.02687215,1.89579,1.90651,0.5883837683787277
21.34792103,0.462397998,1.62,3.52138487,-10.29756946,1.8831,2.26312734,0.25527250510330607
22.12127744,0.477121255,1.21,3.53838419,-11.17198494,2.03526,0.54215516,0.680879174426811
21.91722026,0.612783857,1.4,3.15909591,-10.14327111,1.92121,1.01613299,0.5647843845039867
21.0438101,0.462397998,1.73,3.2113827,-10.37675071,1.82021,1.05329104,0.2944662261615929
21.0163605,0.301029996,1.58,3.59799,-10.59516628,2.06954,1.06622,0.6127838567197355
21.94617755,0.113943352,1.41,4.17178823,-11.31158018,2.00683,1.30353551,0.5182506513085
22.07736427,0.113943352,1.82,5.40919042,-11.92081875,2.37144,1.50995764,0.4429498695778616
22.04029767,1.11058971,1.32,3.23392922,-9.617982957,1.98504,1.54546584,0.505149978319906
21.66138196,0.0,2.36,4.20933518,-11.2823295,2.0682,1.15615612,0.30599588277080464
20.06405721,0.69019608,1.28,3.58393,-10.32975415,2.03183,1.39277,0.6773331514199017
21.12149747,-0.22184875,2.07,2.59006,-9.247183569,1.68684,1.28449,0.34596154181314126
20.79265849,0.531478917,1.52,3.56731,-10.8728952,2.29559,0.914676,0.36116099519502604
20.71960885,1.477121255,1.18,3.24559,-8.91721463,1.92439,1.3304,0.5145477526602861
21.01365445,0.113943352,1.35,2.65954,-10.51570016,2.06879,1.16497,0.362350507594848
21.19799139,0.447158031,1.8,3.68772,-10.7212464,2.0604,1.17745,0.6627578316815741
21.35024026,-0.096910013,1.51,2.071571247,-8.316052869,2.08823,1.742079764,0.31386722036915343
21.417896121836097,1.133538908,1.93,3.31959,-9.89279003,1.79449,1.28481,0.16999753706657023
21.99154725,0.86332286,1.85,5.84588,-10.62525165,2.69002,1.38344,0.12936759572298562
20.84178667,1.44870632,1.3,2.84594,-9.294136288,2.09466,1.11188,0.36078268987328005
21.32749584,0.544068044,1.45,3.9488,-10.91009489,2.24976,1.19347,0.4291060083326965
22.01669496,-0.15490196,1.5983278223510624,2.87134,-10.838632,2.15896,0.951056,0.702602841340427
22.00531353,1.28780173,1.04,3.59073,-9.730487056,1.88134,1.22509,0.5717088318086876
20.99187128,1.371067862,1.8,3.829176603,-10.12551818,1.96657,1.108879519,0.343920385393226
22.04094236,0.69019608,1.21,3.68383,-10.00568285,1.87322,1.36898,0.6951312977040258
21.81946365,0.322219295,1.33,3.90552,-10.85078089,2.06486,1.18974,0.6294095991027189
21.67796993,0.397940009,2.0,4.14388,-11.36251027,2.15785,0.875171,0.414973347970818
21.81764402,1.037426498,1.68,3.30686,-9.903089987,1.74751,0.948932,0.2762319579218336
20.90144742,0.204119983,1.59,3.58709,-11.09770006,1.93407,1.40649,0.5314789170422551
21.32824297,0.832508913,1.45,3.53686,-9.504455662,1.84304,1.25134,0.23678909940929294
22.46148952,0.0,0.92,3.77824,-11.31158018,1.93772,1.64981,0.7564078725489581
21.74573663284223,0.19709473377935982,1.5,3.70006,-10.9589,1.77015,1.35595,0.7187507347396652
21.74269921,0.62324929,1.86,2.85608,-9.847711656,1.95996,1.16056,0.5152113043278018
21.49730845,0.785329835,1.86,3.30337,-10.61083392,1.79496,1.54959,0.19672872262328683
21.59590717,-0.045757491,1.73,5.76634,-12.65757732,1.93447,2.33322,0.3926969532596657
21.48574413,0.949390007,0.62,2.77561,-9.872830386,1.80565,1.42066,0.3653943768547783
21.52664292,0.079181246,2.2,3.39431,-10.79048499,2.01678,1.17705,0.6532125137753437
22.01715025,1.58546073,1.08,2.49217,-8.609064893,1.84772,1.19079,0.44059426183983097
21.79039707,1.245512668,1.23,3.19694,-8.821023053,1.70996,1.24471,0.48572142648158
22.340573,0.9104372435281309,2.1,2.95174,-8.853871964,2.21622,1.82628,0.24427712080184286
20.842422,0.041392685,1.42,3.85419,-9.970616222,1.78547,2.03808,0.37272794088559547
22.33647975,0.986771734,1.57,3.15765,-9.642065153,1.96079,1.33346,0.5224442335063199
21.65076489,0.832508913,1.72,3.99907,-9.935542011,2.00612,1.74508,0.2576785748691845
21.55195354,0.255272505,0.49,2.7098,-10.76639985,2.307153,1.23481,0.38435341413750623
21.98623592,0.230448921,2.41,3.69323,-11.5214335,2.12551,0.897942,0.33585891131981793
21.0151543,0.278753601,1.77,4.43227,-11.6171,2.17922,1.1526,0.7075701760979364
21.605502667037012,0.204119983,1.99,3.06337,-10.72815839,2.20942,1.07478,0.5550944485783191
20.95374423,0.18427873641202286,1.73,4.10299,-11.74958,1.83834,0.973333,0.27184160653649897
21.501371780391256,0.079181246,1.77,3.8244,-11.17263073,2.2054,0.798663,0.4712917110589386
22.0158332,0.113943352,1.93,3.66139836,-11.36754271,1.75592,1.146279559,0.6551384348113821
21.4198963,-0.22184875,0.75,4.47751,-10.99567863,1.72551,1.10229,0.5289167002776547
20.72655851,0.255272505,1.84,3.76407,-11.22402567,1.93554,1.49693,0.7774268223893114
21.30214687,0.462397998,1.4,4.38419,-11.5214335,1.87827,0.948229,0.2395497208404731
21.16074757,-0.22184875,1.85,4.69106,-11.81247928,2.00325,0.883711,0.33425264233423074
21.87736847,0.832508913,1.19,4.08464,-10.74958,1.92624,1.141,0.4063698354692675
21.7153121,0.672097858,1.68,3.77629,-10.65364703,1.99768,1.1958,0.6669857183296606
21.69290922433959,0.35840977919267214,1.59,3.6300738,-10.31069114,1.8473,1.81152426,0.6541765418779605
21.33992622,-0.15490196,1.94,4.1513,-11.06348626,1.97351,1.37345,0.25959387888594865
21.521378858886507,-0.096910013,1.95,3.80257,-11.39577395,2.06685,1.02082,0.527114111639805
21.08891889,1.1430148,1.65,3.63746,-10.18641901,1.89159,0.774169,0.47856649559384334
21.06857915,-0.397940009,1.76,4.28080232,-10.075204,1.84715,1.7583977281006344,0.25358028956218287
21.73970839,0.591064607,1.94,4.41384,-11.26042766,2.20256,0.971187,0.2755416884013096
20.02880298,-0.15490196,2.07,4.78231,-12.10957898,1.99001,0.718496,0.5326270012288912
21.4933967,0.531478917,2.04,3.21372,-10.30627305,1.88733,1.09633,0.38183679999834336
21.41988474,0.146128036,0.97,4.02296,-11.14935376,1.86768,1.50063,0.4768316285122607
20.48730103,0.113943352,1.95,4.20449,-11.62342304,1.62007,1.17089,0.3010299956639812
21.21643247,0.556302501,1.3,4.6659,-10.98296666,1.99236,1.09835,0.3258234190027445
21.1034582,0.146128036,1.91,4.171185481,-11.54363397,2.06008,1.243849338,0.5860243823869757
21.24271531,1.831869774,1.36,3.62033,-8.847711656,1.8461,1.34127,0.21853550521652784
21.58733599,2.120573931,1.97,3.8695,-9.42365865,1.70111,1.1986,0.048053173115609055
22.27837171,0.146128036,1.52,3.15711,-9.928117993,1.76613,1.07011,0.37839790094813763
20.65703194,0.886490725,1.25,4.29043,-10.42365865,1.93674,2.64643,0.5952757118020994
20.88432911,0.568201724,2.02,3.7664,-10.39577395,1.76057,1.92336,0.3988077302032645
21.520409687489924,0.740362689,1.43,4.19124,-10.43297363,1.94587,1.26841,0.45621415535798887
21.6447605,-0.301029996,2.06,3.74534,-10.75202673,1.83214,1.18375,0.6411269328035093
20.95382587,0.740362689,1.64,4.88123,-11.257,1.5415,1.55953,0.5402042998420598
22.04910001,1.255272505,2.56,4.0838,-9.56068,2.0913,1.03996,0.03282014943856386
21.65033473,0.255272505,1.94,3.15321333,-10.8132081,1.81479,1.30602449,0.4348881208673159
21.592307030394842,0.681241237,1.24,1.95518066,-8.11145684,1.843,1.15734724,0.3320342770275179
21.391570055505337,0.301029996,1.36,4.53640048,-11.7337376,1.90881,1.56884903,0.39181692361324877
21.08966848,1.994317153,0.83,2.97975,-8.6381,1.88219,1.29833,0.3521825181113625
20.93258486,0.322219295,2.25,3.96908872,-11.0900559,2.0761,1.55158826,0.5913985512812487
21.73058526,0.612783857,1.47,2.72159651,-9.38944702,1.55046,1.19537497,0.47041049097593063
22.86332108,0.0,1.4,3.69587,-10.8802,1.45068,1.06263,0.8260748027008264
21.12319546,0.84509804,1.53,3.72413045,-10.1403778,1.85188,1.5451851,0.23426412437878927
21.14612804,0.146128036,2.37,3.24642494,-10.4520599,1.98,1.37828029,0.5048784594102159
21.05996459,0.681241237,1.6,2.93128506,-9.72925773,1.88408,1.16829405,0.5827449656912771
21.15768338,0.176091259,1.85,3.057651,-10.8415194,1.71079,1.21043545,0.5423273827739744
21.35337952,0.380211242,1.41,3.15453451,-10.4044334,1.83562,1.0816785,0.6570558528571039
21.03780485,1.130333768,0.98,2.89514,-9.19036,1.91684,1.05139,0.3283796034387377
21.83430305,2.06069784,1.41,2.91049117,-8.55006175,1.92306,1.12578835,0.4679039465228003
20.54058972,0.342422681,1.62,3.6504,-10.3507,1.83712,1.43908,0.33142729652074304
20.92054437,0.204119983,1.7756044352441507,4.80200435,-11.9404653,2.06317,1.74153741,0.3526647996511006
21.53322281,1.442479769,1.3,2.4985,-8.20842,1.70788,1.267456,0.4371160930480786
20.98677173,-0.045757491,1.63,3.43921565,-8.56429146,2.08,1.92622006,0.3250433474037041
21.90370028,0.86332286,1.13,3.04134881,-8.69262974,1.62241,1.20052929,0.7495817348655593
21.99532933,0.278753601,1.84,3.43803362,-10.1070569,1.78537,1.68612083,0.7753191218294776
20.42473959,-0.3015645555806392,1.87,5.53,-12.4941008,1.90103,2.26249671,0.5264426685299355
21.671014636033068,-0.22184875,1.38,3.79761,-11.1278,1.76412,1.57289,0.6821450763738318
22.22918251,0.51851394,1.82,3.7823081,-10.9066853,2.0855,0.931411844,0.4255342204982634
21.69224395,-0.22184875,1.6,4.8792574,-11.9505263,2.02038,2.06160972,0.6597260952377916
20.96124782,0.380211242,1.89,4.25859,-11.4531,2.08995,1.14181,0.6720978579357175
21.31377445,0.826074803,1.36,3.9564,-11.0883,2.00403,1.39195,0.534026106056135
21.82763844,0.591064607,1.08,3.24045,-10.048,1.66432281,1.60174,0.615950051656401
